FHIRJPCoreImplementationGuide
=========================================

Generic: line 0, col 0, Warning - The IG is not for the international realm, and it uses SNOMED CT, so it should fix the SCT edition in the expansion parameters (BUSINESSRULE)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/CodeSystem-jp-bodysite-cs.json: line 1, col 49985, Warning - 値は空白で始まったり終わったりするべきではありません　 ' ラベ静脈 の後吻合静脈' (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-2.json: line 25, col 4, Error - http://medis.or.jp/CodeSystem/master-HOT9#110926901 の誤ったdisplay 'パンスポリンＴ錠１００ １００ｍｇ' - 1 の選択肢のうちの一つであるべきです: 'パンスポリンＴ錠１００・武田薬品' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-2.json: line 143, col 12, Error - http://medis.or.jp/CodeSystem/master-HOT9#107750603 の誤ったdisplay 'ソリタ－Ｔ３号輸液５００ｍＬ' - 1 の選択肢のうちの一つであるべきです: 'ソリタ－Ｔ３号輸液・陽進堂' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-2.json: line 267, col 4, Error - 選択肢 http://jpfhir.jp/fhir/core/StructureDefinition/JP_Medication の中からprofile #jp-medicationrequest-injection-medication-example-2 のマッチを見つけることができません (STRUCTURE)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-2.json: line 267, col 4, Info - #jp-medicationrequest-injection-medication-example-2 の詳細はプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_Medication|1.3.0-dev に一致します (STRUCTURE)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationStatement-jp-medicationstatement-example-1.json: line 10, col 4, Error - http://medis.or.jp/CodeSystem/master-HOT9#103835401 の誤ったdisplay 'ムコダイン錠２５０ｍｇ' - 1 の選択肢のうちの一つであるべきです: 'ムコダイン錠２５０ｍｇ・杏林製薬' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationStatement-jp-medicationstatement-injection-example-1.json: line 133, col 12, Error - http://medis.or.jp/CodeSystem/master-HOT9#107750603 の誤ったdisplay 'ソリタ－Ｔ３号輸液５００ｍＬ' - 1 の選択肢のうちの一つであるべきです: 'ソリタ－Ｔ３号輸液・陽進堂' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationStatement-jp-medicationstatement-injection-example-1.json: line 227, col 4, Error - 選択肢 http://jpfhir.jp/fhir/core/StructureDefinition/JP_Medication の中からprofile #jp-medicationstatement-injection-medication-example-1 のマッチを見つけることができません (STRUCTURE)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationStatement-jp-medicationstatement-injection-example-1.json: line 227, col 4, Info - #jp-medicationstatement-injection-medication-example-1 の詳細はプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_Medication|1.3.0-dev に一致します (STRUCTURE)

err = 14, warn = 2, info = 4
IG Publisher Version: 1.8.9
